Nom,Marque,Caution,Etat,Quantite,Categorie,Disponible,Prix,Details,ID
,,,,,,,,,
Micro Shure SM58,Shure,110,ok,4,Micro,-,-,,M001
Micro Shure SM57,Shure,109,ok,2,Micro,-,-,,M002
Micro Shure Beta 58A,Shure,180,ok,1,Micro,-,-,,M003
Micro Shure 10A,Shure,-,ok,2,Micro,-,-,,M004
Micro Shure PG81,Shure,140,ok,1,Micro,-,-,,M005
Micro Superlux PRA-228A,Superlux,60,ok,2,Micro,-,-,,M006
Micro Superlux PRA-218A,Superlux,60,ok,1,Micro,-,-,,M007
Micro Sennheiser md421,Sennheiser,400,ok,1,Micro,-,-,,M008
Micro Audio Technica MB6K,Audio technica,90,ok,1,Micro,-,-,,M009
Micro Sennheiser e835,Sennheiser,99,ok,1,Micro,-,-,,M010
Micro special grosse caisse,-,-,ok,1,Micro,-,-,,M011
Micro Berhringer Ultravoice,Berhinger,-,ok,2,Micro,-,-,,M012
Micro AKG D5,AKG,95,ok,1,Micro,-,-,,M013
Sennheiser UHF Vocal Set fp 35 C EU,Sennheiser,269,-,1,Micro,-,-,,M014
Ampli QSC Audio RMX 850,QSC,450,ok,4,Ampli,-,-,,A01
Ampli QSC Audio RMX 1450,QSC,500,ok,3,Ampli,-,-,,A02
Ampli QSC Audio RMX 2450,QSC,800,ok,1,Ampli,-,-,,A03
Ampli STA Club 1503,STA,350,ok,1,Ampli,-,-,,A04
Table de mixage Allen & Heath GL2400,Allen&Heath,,ok,1,Table de mixage,-,-,,T001
Table Pioneer XDJ-RX + flight case,Pioneer,,ok,1,Table de mixage,-,-,,T002
Table Pioneer DJM 700,Pioneer,620,ok,1,Table de mixage,-,-,,T003
Table de mixage Behringer Xenyx X1204 USB,Behringer,130,ok,1,Table de mixage,-,-,,T004
Table de mixage Behringer DJX700,Berhringer,169,ok,1,Table de mixage,-,-,,T005
Table de mixage Mackie CFX 16,Mackie,716,ok,1,Table de mixage,-,-,,T006
Platine Denon SC 2900,Denon,560,ok,2,Table de mixage,-,-,,T007
Filtre Behringer CX 2300,Behringer,70,ok,1,Effects,-,-,,E001
Equalizer EQ Crest CPQ 2131P,EQ Crest,300,ok,2,Effects,-,-,,E002
Equalizer EQ Crest CPQ 2215P,EQ Crest,300,ok,1,Effects,-,-,,E003
Compresseur + Gate dbx 266XL,DBX,180,ok,3,Effects,-,-,,E004
Reverb + Delay TC Electronics M350,TC electronics,200,ok,1,Effects,-,-,,E005
Cordial Multi 24 + Sac de transport,-,480,ok,1,Effects,-,-,,E006
Line Splitter Palmer PLS 02,Palmer,222,ok,1,Effects,-,-,,E007
DI stereo Samson S-Direct Plus,Samson,40,ok,3,Effects,-,-,,E008
DI Box AR116 BSS,-,100,ok,1,Effects,-,-,,E009
DI Alctron 120,-,39,ok,2,Effects,-,-,,E010
DI Millenium 66,-,35,ok,1,Effects,-,-,,E011
Ultra DI Pro Berhringer DI 4000,behringer,90,ok,1,Effects,-,-,,E012
Millenium sp8 splitter,Millenium,98,ok,1,Effects,-,-,,E013
Enceintes Yamaha SM121V,Yahama,250,ok,2,Enceintes,-,-,,EN01
Enceintes EV Sx 300,EV,650,ok,2,Enceintes,-,-,,EN02
Enceintes D.A.S DS15,DAS,725,ok,2,Enceintes,-,-,,EN03
Enceintes ALS QG-15,ALS,500,"1 ok, 1 HS",2,Enceintes,-,-,,EN04
